match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
125,47,273,16366,18422,8,0,3,5,0,14,12,2,0,0,25,25,0,0,11212,12599,70,20,0,10,40,83,51,2,20,10,90,40,50,30
126,162,169,24954,11129,60,15,0,5,40,47,33,4,0,10,55,25,30,0,19448,23112,30,5,0,5,20,69,36,3,20,10,60,40,20,10
127,127,201,16290,8417,83,10,3,10,60,24,18,6,0,0,20,20,0,0,5741,23020,58,5,3,10,40,73,42,1,20,10,70,40,30,0
128,250,261,11329,16460,46,0,6,0,40,114,72,2,30,10,60,40,20,30,4250,8513,78,5,3,10,60,83,48,5,10,20,100,40,60,0
129,217,290,4029,10662,58,5,3,10,40,69,48,1,10,10,60,40,20,30,8468,16093,85,15,0,10,60,105,54,1,30,20,100,40,60,0
130,217,244,7258,8721,78,10,3,5,60,69,39,0,20,10,70,40,30,0,19819,5026,43,10,3,10,20,141,81,0,30,30,60,40,20,0
131,241,228,7149,25152,58,5,3,10,40,83,51,2,20,10,100,40,60,0,13093,8081,70,5,0,5,60,78,48,0,20,10,70,40,30,10
132,161,277,4137,20188,75,5,0,10,60,66,33,3,20,10,20,20,0,0,2901,7393,100,10,0,10,80,67,42,5,10,10,90,40,50,20
133,243,222,6699,10091,60,10,0,10,40,83,51,2,20,10,60,40,20,40,18763,8719,45,5,0,0,40,97,57,0,30,10,80,20,60,0
134,205,243,7209,18397,75,5,0,10,60,60,39,1,10,10,70,40,30,0,19824,19162,84,5,9,10,60,69,36,3,20,10,90,40,50,0
135,157,307,16366,12682,55,5,0,10,40,62,39,3,10,10,40,40,0,0,19066,25192,50,25,0,5,20,137,75,2,40,20,90,40,50,30
136,287,177,11129,21229,118,25,3,10,80,84,57,7,10,10,85,25,60,0,18984,24474,80,10,0,10,60,22,18,4,0,0,75,25,50,0
137,249,131,701,11212,56,5,6,5,40,93,63,0,20,10,60,40,20,40,23112,14470,55,5,0,10,40,26,21,5,0,0,50,20,30,0
138,259,50,6955,12599,90,20,0,10,60,99,48,1,30,20,70,40,30,0,18017,24954,10,5,0,5,0,15,12,3,0,0,25,5,20,0
139,197,226,16771,8411,50,5,0,5,40,47,27,0,10,10,100,40,60,0,11146,19448,105,15,0,10,80,71,39,2,20,10,40,20,20,10
140,312,220,12928,15145,90,20,0,10,60,122,72,0,30,20,80,40,40,20,18227,18422,83,10,3,10,60,47,36,1,0,10,70,40,30,20
