match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
117,161,236,19706,17792,30,5,0,5,20,61,36,5,10,10,70,40,30,0,11691,12529,90,20,0,10,60,86,45,1,30,10,60,40,20,0
118,215,204,4100,16377,81,5,6,10,60,94,60,4,20,10,40,40,0,0,16449,23160,78,5,3,10,60,66,36,0,20,10,60,40,20,0
119,234,285,23350,19460,75,5,0,10,60,79,48,1,20,10,80,20,60,0,10355,8641,100,10,0,10,80,125,75,0,30,20,60,40,20,0
120,194,380,7105,3491,65,15,0,10,40,79,51,8,10,10,50,20,30,0,10829,16417,115,25,0,10,80,165,105,0,40,20,100,40,60,0
121,152,138,21457,18625,70,5,0,5,60,32,21,1,10,0,50,20,30,0,11112,11148,55,5,0,10,40,23,21,2,0,0,60,40,20,0
122,231,233,18549,8610,115,25,0,10,80,66,36,0,20,10,50,20,30,0,21528,11511,83,10,3,10,60,80,57,3,10,10,70,40,30,0
123,180,279,16409,18185,80,10,0,10,60,45,33,2,0,10,55,25,30,0,310,9974,66,10,6,10,40,103,51,2,30,20,90,40,50,20
124,221,270,11039,11228,60,10,0,10,40,91,51,0,30,10,60,40,20,10,14179,10255,91,15,6,10,60,89,69,0,10,10,90,40,50,0
125,264,76,25,12791,95,25,0,10,60,119,66,3,30,20,50,0,50,0,22708,16187,55,5,0,10,40,16,12,4,0,0,5,5,0,0
126,210,243,11754,7842,60,15,0,5,40,80,60,0,10,10,70,40,30,0,18031,19964,75,5,0,10,60,78,36,2,30,10,90,40,50,0
127,308,213,10138,19675,110,20,0,10,80,98,57,1,20,20,100,40,60,0,12529,17969,55,10,0,5,40,88,72,6,0,10,70,40,30,0
128,242,239,16377,17792,80,10,0,10,60,92,60,2,20,10,40,40,0,30,18203,6294,83,10,3,10,60,76,45,1,20,10,60,40,20,20
129,358,260,16449,20153,106,10,6,10,80,152,81,1,50,20,90,40,50,10,10355,11691,100,10,0,10,80,80,48,2,20,10,80,40,40,0
130,257,212,16166,23160,88,20,3,5,60,89,48,1,30,10,80,20,60,0,22801,21354,80,10,0,10,60,52,30,2,20,0,80,40,40,0
131,147,172,25498,16008,22,0,12,10,0,70,36,4,20,10,35,5,30,20,8641,21457,60,10,0,10,40,42,30,2,0,10,70,40,30,0
132,252,248,23350,19706,78,5,3,10,60,74,51,3,10,10,100,40,60,0,3491,8610,95,25,0,10,60,73,51,2,10,10,80,40,40,0
133,188,190,11148,772,40,10,0,10,20,68,36,2,20,10,50,40,10,30,14793,21528,70,5,0,5,60,60,30,0,20,10,60,40,20,0
134,162,159,18625,14179,58,5,3,10,40,69,48,1,10,10,35,5,30,0,18185,7105,45,15,0,10,20,69,45,4,10,10,45,25,20,0
135,258,180,12791,11228,88,15,3,10,60,135,84,1,30,20,35,5,30,0,20279,19460,70,5,0,5,60,30,18,2,10,0,80,20,60,0
136,139,274,310,16187,50,5,0,5,40,19,9,0,10,0,70,40,30,0,18031,16417,93,20,3,10,60,101,60,1,20,20,80,20,60,0
137,291,210,9974,18549,75,10,0,5,60,86,42,4,30,10,70,40,30,60,19964,4100,55,10,0,5,40,85,54,1,20,10,60,40,20,10
138,264,282,22708,10255,105,15,0,10,80,99,69,0,20,10,60,40,20,0,16409,7842,78,10,3,5,60,114,72,2,20,20,90,40,50,0
139,213,165,10829,11754,63,10,3,10,40,80,48,2,20,10,70,40,30,0,11112,11511,45,15,0,10,20,100,57,3,30,10,20,20,0,0
140,202,260,8872,18270,88,15,3,10,60,84,51,3,20,10,20,20,0,10,25,11039,78,10,3,5,60,112,69,3,30,10,70,40,30,0
