match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
50,112,82,21125,14903,30,5,0,5,20,37,24,3,10,0,45,25,20,0,18341,12635,15,10,0,5,0,47,36,1,0,10,20,20,0,0
51,243,76,16633,5386,60,10,0,10,40,93,51,2,20,20,90,40,50,0,16255,7120,28,0,3,5,20,43,21,2,20,0,5,5,0,0
52,162,116,18139,21521,50,5,0,5,40,72,51,1,10,10,40,40,0,0,365,8651,53,0,3,10,40,8,6,2,0,0,55,25,30,0
53,191,309,15534,14712,59,0,9,10,40,92,57,5,20,10,40,40,0,0,16379,11808,75,10,0,5,60,134,72,2,40,20,80,20,60,20
54,239,190,17315,22411,60,10,0,10,40,89,48,1,20,20,90,40,50,0,19213,23562,70,5,0,5,60,50,30,0,10,10,70,40,30,0
55,86,157,21051,24378,28,0,3,5,20,18,9,9,0,0,10,10,0,30,24070,15527,30,5,0,5,20,57,45,2,10,0,70,40,30,0
56,207,232,8866,20626,56,0,6,10,40,61,30,1,20,10,60,40,20,30,19818,16310,91,15,6,10,60,101,60,1,20,20,40,20,20,0
57,239,123,9879,12014,100,30,0,10,60,104,54,0,30,20,25,25,0,10,22043,23975,50,5,0,5,40,23,18,5,0,0,50,20,30,0
58,302,198,11225,24145,100,10,0,10,80,82,48,4,20,10,70,40,30,50,19498,20524,55,10,0,5,40,63,51,2,0,10,80,40,40,0
59,124,72,18240,19829,60,10,0,10,40,39,24,5,10,0,25,25,0,0,3587,17980,33,0,3,10,20,24,9,5,10,0,5,5,0,10
60,108,177,4215,21125,30,5,0,5,20,53,30,3,10,10,25,25,0,0,14496,19746,93,20,3,10,60,34,27,7,0,0,50,40,10,0
61,138,196,16255,14903,78,5,3,10,60,40,27,3,10,0,20,20,0,0,21455,14423,58,25,3,10,20,88,57,1,20,10,50,0,50,0
62,129,107,21521,7120,78,5,3,10,60,46,24,2,20,0,5,5,0,0,18341,6547,28,0,3,5,20,19,15,4,0,0,60,40,20,0
63,286,166,16633,16379,35,5,0,10,20,121,60,11,30,20,80,40,40,50,12635,7693,50,5,0,5,40,66,45,1,10,10,50,20,30,0
64,150,240,5386,4545,83,10,3,10,60,47,21,6,10,10,20,20,0,0,3763,8651,85,15,0,10,60,75,42,3,20,10,80,40,40,0
65,231,213,18225,15534,90,30,0,0,60,91,57,4,20,10,50,20,30,0,17315,9637,85,20,0,5,60,78,48,0,20,10,40,40,0,10
66,142,173,18139,14712,55,10,0,5,40,67,33,4,20,10,20,20,0,0,8866,23562,70,5,0,5,60,63,33,0,20,10,40,40,0,0
67,277,160,252,19213,78,5,3,10,60,99,54,5,20,20,100,40,60,0,24378,19818,78,5,3,10,60,22,18,4,0,0,60,40,20,0
68,159,221,10015,15527,61,5,6,10,40,18,9,9,0,0,60,40,20,20,16310,365,108,15,3,10,80,53,36,7,0,10,60,40,20,0
69,69,266,20626,21051,25,0,0,5,20,19,18,1,0,0,25,25,0,0,11808,8565,75,5,0,10,60,111,60,1,30,20,70,20,50,10
70,164,169,14273,22411,50,5,0,5,40,54,33,1,10,10,40,40,0,20,24070,23974,35,5,0,10,20,44,24,0,20,0,80,40,40,10
71,110,219,3587,21455,16,0,6,10,0,54,39,5,0,10,40,40,0,0,23975,19498,80,15,0,5,60,59,45,4,0,10,60,40,20,20
72,164,116,6547,21125,50,5,0,5,40,59,27,2,20,10,55,25,30,0,20524,16255,25,0,0,5,20,51,30,1,20,0,40,40,0,0
73,239,130,16633,4215,100,10,0,10,80,89,57,2,20,10,50,40,10,0,18341,22043,30,5,0,5,20,30,15,5,0,10,70,40,30,0
74,172,160,11225,18240,78,5,3,10,60,34,24,0,10,0,60,40,20,0,7120,14496,45,5,0,0,40,95,54,1,30,10,20,20,0,0
75,197,225,16379,17980,66,10,6,10,40,76,45,1,20,10,55,25,30,0,18225,5386,80,10,0,10,60,95,63,2,10,20,50,20,30,0
76,103,226,19829,23562,30,5,0,5,20,28,18,0,10,0,45,25,20,0,14903,7693,66,10,6,10,40,70,39,1,20,10,90,40,50,0
77,200,180,24145,19818,58,5,3,10,40,72,45,7,10,10,70,40,30,0,14712,4545,65,15,0,10,40,80,48,2,20,10,35,5,30,0
78,231,298,12635,21521,100,10,0,10,80,71,39,2,20,10,60,40,20,0,252,16310,83,10,3,10,60,105,63,2,20,20,80,40,40,30
79,84,255,8651,9637,50,5,0,5,40,24,21,3,0,0,0,0,0,10,11808,19213,100,10,0,10,80,80,48,2,20,10,75,25,50,0
80,155,227,15527,14423,41,5,6,10,20,34,18,6,10,0,80,40,40,0,3763,14273,60,10,0,10,40,97,66,1,20,10,70,40,30,0
