match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
85,211,244,24750,12808,61,15,6,0,40,80,57,3,10,10,70,20,50,0,16158,6596,73,20,3,10,40,111,69,2,30,10,40,20,20,20
86,252,97,19889,23381,90,20,0,10,60,82,51,1,20,10,50,40,10,30,20288,1002,28,0,3,5,20,34,21,3,0,10,25,5,20,10
87,344,379,19836,20871,135,45,0,10,80,119,78,1,30,10,90,40,50,0,19502,17962,120,30,0,10,80,159,99,0,40,20,100,40,60,0
88,198,157,3188,20123,50,5,0,5,40,73,42,1,20,10,75,25,50,0,19458,21865,60,15,0,5,40,92,60,2,0,30,5,5,0,0
89,217,380,3747,21695,88,15,3,10,60,79,45,4,20,10,50,20,30,0,5356,10298,111,15,6,10,80,139,87,2,30,20,100,40,60,30
90,251,134,15400,24433,110,20,0,10,80,101,60,1,20,20,40,40,0,0,10265,6174,70,5,0,5,60,44,21,3,10,10,20,20,0,0
91,330,121,16461,19411,125,35,0,10,80,145,105,0,20,20,60,40,20,0,23207,11780,30,5,0,5,20,21,9,12,0,0,70,40,30,0
92,128,187,3397,11770,35,10,0,5,20,48,27,1,10,10,35,25,10,10,16597,21430,81,5,6,10,60,66,45,1,10,10,40,20,20,0
93,321,380,9614,23422,115,25,0,10,80,106,66,0,30,10,100,40,60,0,16468,25309,80,15,0,5,60,110,60,0,30,20,100,40,60,90
94,223,246,16265,10477,85,15,0,10,60,88,57,1,20,10,40,40,0,10,13603,24809,70,5,0,5,60,96,66,0,10,20,70,20,50,10
95,260,82,516,10544,83,10,3,10,60,77,57,10,10,0,70,40,30,30,23905,14725,55,5,0,10,40,7,6,1,0,0,20,20,0,0
96,292,123,9848,12993,96,20,6,10,60,116,84,2,10,20,80,40,40,0,23521,16817,30,5,0,5,20,58,27,1,20,10,25,25,0,10
97,192,209,18840,23898,75,5,0,10,60,67,36,1,20,10,40,20,20,10,19953,23060,70,5,0,5,60,39,24,5,10,0,70,40,30,30
98,232,205,23554,21225,80,10,0,10,60,82,60,2,10,10,40,20,20,30,10644,8365,36,0,6,10,20,79,48,1,20,10,80,40,40,10
99,221,195,19836,21865,70,25,0,5,40,101,60,1,20,20,50,20,30,0,21695,24750,100,10,0,10,80,75,39,6,20,10,20,20,0,0
100,210,271,20123,10265,100,10,0,10,80,80,48,2,20,10,20,20,0,10,19889,3747,110,20,0,10,80,101,60,1,20,20,20,20,0,40
101,209,400,6596,20288,73,20,3,10,40,76,45,1,20,10,60,40,20,0,20871,5356,125,35,0,10,80,135,84,1,30,20,80,40,40,60
102,247,227,15400,23381,53,20,3,10,20,134,84,0,30,20,60,40,20,0,16461,16597,80,10,0,10,60,87,66,1,10,10,60,40,20,0
103,126,239,1002,25309,0,0,0,0,0,16,12,4,0,0,50,20,30,60,3397,17962,53,20,3,10,20,131,69,2,40,20,55,25,30,0
104,224,186,11780,19458,45,5,0,0,40,69,39,0,20,10,40,20,20,70,24809,24433,50,5,0,5,40,66,39,7,10,10,70,40,30,0
105,356,331,19411,10544,125,35,0,10,80,131,90,1,20,20,100,40,60,0,19502,10298,106,10,6,10,80,125,72,3,30,20,100,40,60,0
106,286,152,16468,23905,73,20,3,10,40,113,63,0,30,20,100,40,60,0,16265,16817,50,5,0,5,40,57,27,0,20,10,25,25,0,20
107,207,195,9848,3188,58,5,3,10,40,64,33,1,20,10,55,25,30,30,23060,9614,30,5,0,5,20,65,42,3,10,10,100,40,60,0
108,222,215,13603,19953,66,10,6,10,40,66,36,0,20,10,90,40,50,0,23207,21225,85,15,0,10,60,60,30,10,10,10,70,40,30,0
109,250,245,10644,16158,113,20,3,10,80,107,66,1,30,10,30,20,10,0,14725,23521,78,10,3,5,60,77,36,1,20,20,90,40,50,0
110,207,244,8365,12808,86,15,6,5,60,31,15,6,10,0,90,40,50,0,10477,23422,83,10,3,10,60,71,39,2,20,10,90,40,50,0
111,172,135,21430,23898,58,5,3,10,40,54,24,0,20,10,60,40,20,0,6174,23554,60,10,0,10,40,35,21,4,10,0,40,40,0,0
112,263,251,12993,18840,91,15,6,10,60,127,84,3,20,20,45,25,20,0,516,11770,75,5,0,10,60,96,63,3,20,10,70,40,30,10
113,291,152,17962,20288,125,35,0,10,80,111,69,2,30,10,25,25,0,30,16461,10265,50,5,0,5,40,32,30,2,0,0,60,20,40,10
114,215,202,1002,19836,65,20,0,5,40,100,60,0,30,10,50,20,30,0,19458,15400,70,25,0,5,40,52,30,12,0,10,50,40,10,30
115,216,254,16597,19889,80,10,0,10,60,76,45,1,20,10,50,20,30,10,10544,25309,60,10,0,10,40,94,63,1,10,20,100,40,60,0
116,17,322,16817,21865,0,0,0,0,0,12,9,3,0,0,5,5,0,0,24433,19502,100,10,0,10,80,132,81,1,30,20,60,40,20,30
117,173,255,23060,3397,50,5,0,5,40,68,36,2,20,10,55,25,30,0,24750,5356,85,15,0,10,60,125,84,1,20,20,45,25,20,0
118,128,372,23905,23207,40,10,0,10,20,18,15,3,0,0,70,20,50,0,9614,10298,116,25,6,5,80,146,93,3,30,20,100,40,60,10
